Title	URL	HasUniqueRoleAssignments	User/Group	Roles
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM v2 Visitors	Read,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM v2 Members	Edit,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM Administrators	Full Control,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM Owners	Full Control,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM Members	Contribute,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM Visitors	Read,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM Viewers	Read,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Style Resource Readers	Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Designers	Design,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Hierarchy Managers	Manage Hierarchy,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Approvers	Approve,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Restricted Readers	Restricted Read,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Translation Managers	Restricted Interfaces for Translation,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	SPS2013\administrator	Full Control,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM v2 Owners	Full Control,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM v2 Visitors	Read,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM v2 Members	Edit,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM Administrators	Full Control,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM Owners	Full Control,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM Members	Read,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM Visitors	Read,
Jurisdictions	http://sps2013/sites/tomv2/Lists/Jurisdictions	True	TOM Viewers	Read,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	SPS2013\administrator	Full Control,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	Excel Services Viewers	View Only,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM v2 Owners	Full Control,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM v2 Visitors	Read,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM v2 Members	Edit,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM Administrators	Full Control,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM Owners	Full Control,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM Members	Contribute,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM Visitors	Read,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	TOM Viewers	Read,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	Style Resource Readers	Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	Designers	Design,Limited Access,
LegalEntities	http://sps2013/sites/tomv2/Lists/LegalEntities	False	Hierarchy Managers	Manage Hierarchy,
